0 0 1936
1 1936 534
2 2470 1638
3 4108 3166
4 7274 3826
5 11100 2515
6 13615 3586
7 17201 1854
8 19055 642
9 19697 9233
10 28930 17846
11 46776 1785
12 48561 1228
13 49789 2894
14 52683 1229
15 53912 7584
16 61496 175
17 61671 5209
18 66880 656
19 67536 1640
20 69176 620
21 69796 611
22 70407 4714
23 75121 4757
24 79878 7955
25 87833 7514
26 95347 9678
27 105025 1379
28 106404 669
29 107073 654
30 107727 304
31 108031 4730
32 112761 655
33 113416 722
34 114138 2292
35 116430 353
36 116783 194
37 116977 657
38 117634 1934
39 119568 639
40 120207 1292
41 121499 6099
42 127598 634
43 128232 2595
44 130827 1951
45 132778 2583
46 135361 243
47 135604 2469
48 138073 2534
49 140607 6119
50 146726 3611
51 150337 7549
52 157886 1600
53 159486 897
54 160383 7618
55 168001 4313
56 172314 2185
57 174499 4656
58 179155 8554
59 187709 662
60 188371 639
61 189010 689
62 189699 2340
63 192039 2104
64 194143 2747
65 196890 3833
66 200723 178
67 200901 642
68 201543 3413
69 204956 623
70 205579 3267
71 208846 6937
72 215783 924
73 216707 2417
74 219124 1101
75 220225 664
76 220889 6275
77 227164 173
78 227337 3818
79 231155 3750
80 234905 513
81 235418 2388
82 237806 2616
83 240422 624
84 241046 3778
85 244824 657
86 245481 3796
87 249277 5542
88 254819 4510
89 259329 1561
90 260890 2092
91 262982 2490
92 265472 1704
93 267176 2557
94 269733 1810
95 271543 2182
96 273725 1951
97 275676 2037
98 277713 2291
99 280004 2695
100 282699 2676
101 285375 1916
102 287291 2305
103 289596 3196
104 292792 5372
105 298164 332
106 298496 1766
107 300262 4613
108 304875 4160
109 309035 4755
110 313790 519
111 314309 1156
112 315465 1192
113 316657 2575
114 319232 586
115 319818 3679
116 323497 2845
117 326342 3957
118 330299 2893
119 333192 6478
120 339670 171
121 339841 648
122 340489 717
123 341206 8099
124 349305 13566
125 362871 1595
126 364466 8030
127 372496 6237
128 378733 210
129 378943 1509
130 380452 3544
131 383996 2158
132 386154 2190
133 388344 1232
134 389576 3449
135 393025 676
136 393701 1528
137 395229 7660
138 402889 2289
139 405178 8213
140 413391 1300
141 414691 7470
142 422161 1228
143 423389 4086
144 427475 1241
145 428716 1418
146 430134 3603
147 433737 2383
148 436120 11553
149 447673 4629
150 452302 3211
151 455513 5008
152 460521 2316
153 462837 2194
154 465031 3220
155 468251 1181
156 469432 1209
157 470641 642
158 471283 640
159 471923 634
160 472557 2367
161 474924 668
162 475592 2455
163 478047 640
164 478687 1389
165 480076 2625
166 482701 685
167 483386 2546
168 485932 3565
169 489497 1227
170 490724 641
171 491365 5362
172 496727 647
173 497374 641
174 498015 642
175 498657 652
176 499309 6621
177 505930 644
178 506574 646
179 507220 8948
180 516168 3791
181 519959 20490
182 540449 2057
183 542506 1096
184 543602 4109
185 547711 7900
186 555611 2909
187 558520 3759
188 562279 204
189 562483 1110
190 563593 5245
191 568838 5022
192 573860 4206
193 578066 683
194 578749 6083
195 584832 9318
196 594150 2596
197 596746 3904
198 600650 1122
199 601772 1279
200 603051 823
201 603874 2435
202 606309 3752
203 610061 176
204 610237 1287
205 611524 16330
206 627854 1001
207 628855 2087
208 630942 624
209 631566 2012
210 633578 1855
211 635433 10178
212 645611 2141
213 647752 3493
214 651245 1479
215 652724 3947
216 656671 1622
217 658293 3669
218 661962 614
219 662576 618
220 663194 2875
221 666069 200
222 666269 2572
223 668841 10072
224 678913 805
225 679718 2426
226 682144 626
227 682770 1819
228 684589 630
229 685219 6441
230 691660 629
231 692289 14500
232 706789 617
233 707406 617
234 708023 622
235 708645 623
236 709268 1188
237 710456 1667
238 712123 1647
239 713770 864
240 714634 3106
241 717740 629
242 718369 661
243 719030 4004
244 723034 661
245 723695 644
246 724339 3780
247 728119 945
248 729064 1780
249 730844 6480
250 737324 4907
251 742231 3500
252 745731 176
253 745907 2105
254 748012 1076
255 749088 2800
256 751888 7922
257 759810 2933
258 762743 989
259 763732 7411
260 771143 633
261 771776 1037
262 772813 203
263 773016 1940
264 774956 2937
265 777893 660
266 778553 5227
267 783780 866
268 784646 525
269 785171 1454
270 786625 1788
271 788413 979
272 789392 630
273 790022 2904
274 792926 819
275 793745 6066
276 799811 630
277 800441 1533
278 801974 3368
279 805342 1089
280 806431 27042
281 833473 6008
282 839481 5399
283 844880 668
284 845548 783
285 846331 4084
286 850415 5123
287 855538 7796
288 863334 1067
289 864401 3160
290 867561 623
291 868184 3696
292 871880 8011
293 879891 643
294 880534 194
295 880728 2942
296 883670 632
297 884302 1318
298 885620 1798
299 887418 1072
300 888490 661
301 889151 2469
302 891620 176
303 891796 1580
304 893376 1232
305 894608 3453
306 898061 4834
307 902895 642
308 903537 6285
309 909822 662
310 910484 2151
311 912635 650
312 913285 3534
313 916819 5429
314 922248 851
315 923099 2469
316 925568 3172
317 928740 4255
318 932995 642
319 933637 2204
320 935841 1386
321 937227 2940
322 940167 2154
323 942321 649
324 942970 638
325 943608 641
326 944249 638
327 944887 646
328 945533 653
329 946186 625
330 946811 173
331 946984 1461
332 948445 3290
333 951735 19867
334 971602 624
335 972226 624
336 972850 623
337 973473 199
338 973672 638
339 974310 14095
340 988405 4400
341 992805 456
342 993261 6784
343 1000045 2842
344 1002887 3417
345 1006304 1504
346 1007808 2730
347 1010538 556
348 1011094 2842
349 1013936 803
350 1014739 1372
351 1016111 819
352 1016930 6273
353 1023203 6877
354 1030080 6326
355 1036406 2430
356 1038836 2696
357 1041532 4206
358 1045738 1266
359 1047004 4073
360 1051077 3536
361 1054613 5137
362 1059750 1353
363 1061103 175
364 1061278 2710
365 1063988 1978
366 1065966 4972
367 1070938 3507
368 1074445 1917
369 1076362 5712
370 1082074 960
371 1083034 867
372 1083901 8513
373 1092414 6790
374 1099204 5304
375 1104508 1298
376 1105806 5523
377 1111329 6245
378 1117574 10706
379 1128280 2030
380 1130310 19076
381 1149386 19670
382 1169056 658
383 1169714 3392
384 1173106 1685
385 1174791 1337
386 1176128 3146
387 1179274 5207
388 1184481 6163
389 1190644 1436
390 1192080 649
391 1192729 5643
392 1198372 1884
393 1200256 630
394 1200886 676
395 1201562 980
396 1202542 1334
397 1203876 1976
398 1205852 1345
399 1207197 5127
400 1212324 3856
401 1216180 1615
402 1217795 3322
403 1221117 656
404 1221773 656
405 1222429 627
406 1223056 674
407 1223730 584
408 1224314 1050
409 1225364 807
410 1226171 1106
411 1227277 1197
412 1228474 583
413 1229057 1192
414 1230249 2310
415 1232559 9060
416 1241619 1212
417 1242831 583
418 1243414 4267
419 1247681 6535
420 1254216 2307
421 1256523 585
422 1257108 585
423 1257693 2551
424 1260244 188
425 1260432 3768
426 1264200 2782
427 1266982 10497
428 1277479 627
429 1278106 671
430 1278777 5766
431 1284543 3447
432 1287990 1090
433 1289080 629
434 1289709 4119
435 1293828 2626
436 1296454 1223
437 1297677 1811
438 1299488 643
439 1300131 5360
440 1305491 1327
441 1306818 519
442 1307337 1215
443 1308552 1204
444 1309756 693
445 1310449 642
446 1311091 647
447 1311738 4684
448 1316422 7134
449 1323556 3578
450 1327134 944
451 1328078 1250
452 1329328 3160
453 1332488 3731
454 1336219 660
455 1336879 10647
456 1347526 2002
457 1349528 1551
458 1351079 21751
459 1372830 4074
460 1376904 629
461 1377533 643
462 1378176 647
463 1378823 622
464 1379445 8853
465 1388298 6666
466 1394964 1581
467 1396545 5798
468 1402343 1215
469 1403558 2536
470 1406094 2817
471 1408911 7412
472 1416323 663
473 1416986 1543
474 1418529 3003
475 1421532 1334
476 1422866 8938
477 1431804 1962
478 1433766 638
479 1434404 3290
480 1437694 2807
481 1440501 4287
482 1444788 3531
483 1448319 3728
484 1452047 1616
485 1453663 1591
486 1455254 3828
487 1459082 1223
488 1460305 2702
489 1463007 1121
490 1464128 1124
491 1465252 3412
492 1468664 6229
493 1474893 1279
494 1476172 1074
495 1477246 1734
496 1478980 1143
497 1480123 2536
498 1482659 1854
499 1484513 4388
500 1488901 649
501 1489550 1787
502 1491337 3323
503 1494660 317
504 1494977 217
505 1495194 3382
506 1498576 2102
507 1500678 2129
508 1502807 6275
509 1509082 611
510 1509693 3474
511 1513167 2661
512 1515828 1888
513 1517716 9971
514 1527687 3633
515 1531320 5088
516 1536408 559
517 1536967 1240
518 1538207 1732
519 1539939 191
520 1540130 1499
521 1541629 9028
522 1550657 755
523 1551412 15086
524 1566498 1243
525 1567741 1936
526 1569677 4167
527 1573844 3215
528 1577059 899
529 1577958 8819
530 1586777 209
531 1586986 2202
532 1589188 1255
533 1590443 627
534 1591070 1042
535 1592112 3151
536 1595263 2095
537 1597358 1937
538 1599295 687
539 1599982 5608
